address|balance
0x7e7f18a02eccaa5d61ab8fbf030343c434a25ef7|66.85
0x42d34940edd2e7005d46e2188e4cfece8311d74d|158.0
0x9374869d4a9911ee1eaf558bc4c2b63ec63acfdd|1000.0
0x30037988702671acbe892c03fe5788aa98af287a|272.9975853990473
0x03eb3cb860f6028da554d344a2bb5a500ae8b86f|499.498278
0xb1e6e810c24ab0488de9e01e574837829f7c77d0|400.0
0x0ef85b49d08a75198692914eddb4b22cf5fa4450|1152.793364
0xe10ac19c546fc2547c61c139f5d1f45a6666d5b0|48.287100393
0x0bdd58b96e7c916dd2fb30356f2aebfaaf1d8630|2000.0
0x21206ce22ea480e85940d31314e0d64f4e4d3a04|409.0438050001
0x5c6f36af90ab1a656c6ec8c7d521512762bba3e1|1999.8
0x8b7056f6abf3b118d026e944d5c073433ca451d7|480.00921289577775
0x89e3b59a15864737d493c1d23cc53dbf8dcb1362|30.092734
0xbffb6929241f788693273e7022e60e3eab1fe84f|500.00517
0xea8f30b6e4c5e65290fb9864259bc5990fa8ee8a|20.0
0x71135d8f05963c905a4a07922909235a896a52ea|3000.0
0x851c0d62be4635d4777e8035e37e4ba8517c6132|77.91156241645551
0xcee699c0707a7836252b292f047ce8ad289b2f55|324.7
0x5a7735007d70b06844da9901cdfadb11a2582c2f|6000.0055
0xdc703a5f3794c84d6cb3544918cae14a35c3bd4f|926.5042361799792
0x30513fca9f36fd788cfea7a340e86df98294a244|447.0
0x8a36869ad478997cbf6d8924d20a3c8018e9855b|20.0
0xb1cd4bdfd104489a026ec99d597307a04279f173|20000.0
0x136c834bf111326d207395295b2e583ea7f33572|100.0
0xd9f547f2c1de0ed98a53d161df57635dd21a00bd|98.5
0x40e0dbf3efef9084ea1cd7e503f40b3b4a8443f6|52.78176851790655
0x3fb7d197b3ba4fe045efc23d50a14585f558d9b2|20.0
0xf23c7b0cb8cd59b82bd890644a57daf40c85e278|50.038
0xc85325eab2a59b3ed863c86a5f2906a04229ffa9|465.6
0xe8c3d3b0e17f97d1e756e684f94e1470f99c95a1|400.0
0xb4dd460cd016725a64b22ea4f8e06e06674e033e|19.949358640978154
0x814135da8f9811075783bf1ab67062af8d3e9f40|20.0
0x42ddd014dc52bfbcc555325a40b516f4866a1dd3|2000.0
0xa9d4a2bcbe5b9e0869d70f0fe2e1d6aacd45edc5|82.00023854235715
0xc493489e56c3bdd829007dc2f956412906f76bfa|48.968
0xec5feafe210c12bfc9a5d05925a123f1e73fbef8|45576.10247136868
0x47d20e6ae4cad3f829eac07e5ac97b66fdd56cf5|588.276707781
0xe7be82c6593c1eeddd2ae0b15001ff201ab57b2f|19.1
0x583e83ba55e67e13e0e76f8392d873cd21fbf798|20.0
0xfa279bfd8767f956bf7fa0bd5660168da75686bd|10.499040303114738
0xda34b2eae30bafe8daeccde819a794cd89e09549|2000.0
0x9a63d185a79129fdab19b58bb631ea36a420544e|161.59978616427142
0x1fd296be03ad737c92f9c6869e8d80a71c5714aa|13.37
0xabdc9f1bcf4d19ee96591030e772c334302f7d83|40110.0
0x7d73863038ccca22f96affda10496e51e1e6cd48|20.0
0xfa00c376e89c05e887817a9dd0748d96f341aa89|300.7
0xe04972a83ca4112bc871c72d4ae1616c2f0728db|267.606
0xa43b6da6cb7aac571dff27f09d39f846f53769b1|380.0
0x741693c30376508513082020cc2b63e9fa92131b|149.9557558858722
0x870796abc0db84af82da52a0ed68734de7e636f5|30.670312111695992
0x40585200683a403901372912a89834aadcb55fdb|10.04754495810961
0xbfc57aa666fae28e9f107a49cb5089a4e22151dd|1000.0
0xc3a046e3d2b2bf681488826e32d9c061518cfe8c|2600.0
0x2e619f57abc1e987aa936ae3a2264962e7eb2d9a|756.0
